epoch, energy, energy_std, energy_window, rel_error, time
205,-4.00298,0.17192,-4.00058,0.00562,0.00113,1.57630
206,-4.00017,0.16886,-4.00037,0.00543,0.00183,1.57621
207,-4.01034,0.17671,-4.00043,0.00552,0.00071,1.62074
208,-4.00344,0.17479,-4.00060,0.00548,0.00101,1.57400
209,-3.99877,0.17632,-4.00045,0.00543,0.00218,1.57259
210,-4.00035,0.17353,-4.00051,0.00541,0.00178,1.57357
211,-4.00204,0.17640,-4.00044,0.00536,0.00136,1.55804
212,-3.99874,0.17697,-4.00030,0.00531,0.00219,1.54747
213,-4.00521,0.17010,-4.00049,0.00530,0.00057,1.57453
214,-3.99696,0.16924,-4.00034,0.00529,0.00263,1.58281
215,-3.99670,0.17501,-4.00000,0.00495,0.00269,1.57565
216,-3.99832,0.17018,-3.99995,0.00496,0.00229,1.57744
217,-3.99843,0.17061,-3.99991,0.00496,0.00226,1.61432
218,-3.99686,0.17394,-3.99984,0.00498,0.00265,1.55587
219,-3.99945,0.17056,-3.99984,0.00498,0.00201,1.59402
220,-3.99876,0.16620,-3.99989,0.00496,0.00218,1.61309
221,-3.99869,0.16894,-3.99984,0.00496,0.00220,1.56636
222,-4.00560,0.16627,-3.99995,0.00502,0.00047,1.60530
223,-3.98639,0.16977,-3.99950,0.00521,0.00527,1.60427
224,-4.00080,0.16994,-3.99954,0.00521,0.00167,1.55838
225,-3.99555,0.17429,-3.99944,0.00524,0.00298,1.60843
226,-4.00673,0.16845,-3.99986,0.00496,0.00019,1.60074
227,-3.99957,0.17124,-4.00004,0.00476,0.00198,1.63954
228,-3.99519,0.16913,-3.99997,0.00481,0.00307,1.59417
229,-3.99861,0.17113,-3.99991,0.00481,0.00222,1.58880
230,-4.00337,0.17173,-3.99996,0.00483,0.00103,1.60116
231,-4.00573,0.17371,-4.00018,0.00484,0.00044,1.63479
232,-3.99665,0.17081,-4.00007,0.00486,0.00271,1.58079
233,-3.99800,0.17247,-4.00011,0.00483,0.00237,1.59590
234,-4.00741,0.17443,-4.00035,0.00489,0.00002,1.61064
235,-4.00465,0.17125,-4.00023,0.00471,0.00071,1.67594
236,-3.99915,0.17360,-4.00025,0.00470,0.00208,1.62868
237,-4.00642,0.16867,-4.00048,0.00471,0.00027,1.62438
238,-4.00122,0.17135,-4.00040,0.00466,0.00157,1.65273
239,-3.99814,0.17715,-4.00045,0.00462,0.00234,1.65161
240,-3.99500,0.17403,-4.00050,0.00456,0.00312,1.65905
241,-3.99781,0.17193,-4.00036,0.00454,0.00242,1.62731
242,-4.00958,0.17082,-4.00042,0.00464,0.00052,1.61289
243,-4.00164,0.17141,-4.00045,0.00464,0.00146,1.58454
244,-3.99459,0.17218,-4.00022,0.00463,0.00322,1.62504
245,-4.00639,0.16649,-4.00045,0.00464,0.00028,1.60017
246,-4.00241,0.17661,-4.00045,0.00465,0.00127,1.61446
247,-4.00362,0.17082,-4.00063,0.00459,0.00097,1.58000
248,-4.00250,0.17157,-4.00070,0.00459,0.00125,1.56306
249,-3.99467,0.17137,-4.00058,0.00467,0.00320,1.59320
250,-3.99546,0.17158,-4.00051,0.00471,0.00300,1.60080
251,-4.00624,0.17208,-4.00077,0.00466,0.00031,1.59543
252,-4.00255,0.16916,-4.00068,0.00457,0.00124,1.59687
253,-3.99195,0.16959,-4.00055,0.00472,0.00388,1.64054
254,-3.99690,0.17187,-4.00033,0.00463,0.00265,1.59427
255,-4.00302,0.17147,-4.00034,0.00464,0.00112,1.57486
256,-3.99350,0.17523,-4.00020,0.00473,0.00349,1.54569
257,-3.99845,0.17072,-3.99996,0.00451,0.00226,1.59789
258,-4.00331,0.17402,-3.99996,0.00451,0.00105,1.57692
259,-4.00029,0.17487,-3.99999,0.00451,0.00180,1.55213
260,-3.99796,0.17240,-3.99994,0.00451,0.00238,1.58589
261,-3.99312,0.16684,-3.99977,0.00460,0.00359,1.61065
262,-4.00126,0.16886,-3.99982,0.00461,0.00156,1.56128
263,-4.00764,0.17701,-3.99986,0.00468,0.00004,1.56499
264,-3.99887,0.17385,-3.99990,0.00466,0.00215,1.54588
265,-3.99922,0.17288,-3.99995,0.00464,0.00207,1.57616
266,-4.00111,0.17406,-4.00001,0.00463,0.00159,1.60309
267,-3.99858,0.16657,-4.00001,0.00463,0.00223,1.63169
268,-4.00555,0.16713,-4.00019,0.00468,0.00049,1.60299
269,-4.00693,0.17195,-4.00034,0.00477,0.00014,1.57898
270,-4.00469,0.17219,-4.00045,0.00480,0.00070,1.58955
271,-4.00254,0.16740,-4.00053,0.00480,0.00124,1.55168
272,-4.00559,0.16879,-4.00053,0.00480,0.00048,1.60237
273,-4.00311,0.16471,-4.00086,0.00437,0.00109,1.59985
274,-4.00658,0.16914,-4.00098,0.00444,0.00023,1.60783
275,-4.00225,0.16340,-4.00111,0.00438,0.00131,1.59935
276,-4.00666,0.16579,-4.00111,0.00437,0.00021,1.58789
277,-4.01017,0.16409,-4.00133,0.00455,0.00067,1.53129
278,-3.99804,0.16635,-4.00138,0.00449,0.00236,1.59398
279,-4.01035,0.16244,-4.00162,0.00464,0.00071,1.58000
280,-3.99933,0.16149,-4.00154,0.00465,0.00204,1.57102
281,-3.99858,0.15887,-4.00139,0.00462,0.00223,1.60700
282,-3.99584,0.15356,-4.00138,0.00464,0.00291,1.56555
283,-4.00787,0.15500,-4.00157,0.00470,0.00009,1.58229
284,-3.99897,0.14680,-4.00141,0.00464,0.00213,1.62680
285,-3.99813,0.14886,-4.00128,0.00464,0.00234,1.61271
286,-3.99082,0.14312,-4.00111,0.00486,0.00416,1.58669
287,-4.00139,0.14762,-4.00101,0.00480,0.00152,1.59589
288,-4.00356,0.14385,-4.00106,0.00481,0.00098,1.63616
289,-4.00096,0.13962,-4.00111,0.00479,0.00163,1.56842
290,-4.00707,0.13636,-4.00135,0.00478,0.00011,1.54332
291,-4.01033,0.13739,-4.00160,0.00492,0.00071,1.59860
292,-3.99660,0.13149,-4.00134,0.00483,0.00272,1.56310
293,-4.00126,0.12975,-4.00134,0.00483,0.00156,1.56607
