Num,Energy_Window,Energy_Std_Window,Variance,Epoch,Time,Energy,Energy_Std,Energy-Mean,Energy-Std,Cz-Ferro,Cz-Antiferro,Mz2-Ferro,Mz2-Antiferro,Mx-Ferro,Mx-Antiferro,Nz-Ferro,Nz-Antiferro,Net_Overlap,Std_Mean,J1,J2,Length
6,-10.08423,0.0056,0.03561,674,20.64857,-10.09258,0.03561,-10.09737,0.05811,-0.318,-0.314,0.01325,0.01325,0.99362,0.99362,-0.292,0.292,0,0.00353,-1,-4.3,4
7,-10.08205,0.00669,0.04361,583,18.47114,-10.09334,0.04361,-10.10127,0.16736,-0.30467,-0.31133,0.01775,0.01875,0.99671,0.99671,-0.294,0.294,0,0.00432,-1,-4.3,4
8,-10.08369,0.00862,0.04807,532,16.61061,-10.09454,0.04807,-10.09906,0.05621,-0.31,-0.314,0.01325,0.01325,0.99569,0.99569,-0.30133,0.30133,0,0.00476,-1,-4.3,4
9,-10.08428,0.00651,0.03986,727,21.70575,-10.09627,0.03986,-10.09953,0.07397,-0.304,-0.31867,0.0165,0.0165,0.99615,0.99615,-0.28933,0.28933,0,0.00395,-1,-4.3,4
0,-9.89378,0.00674,0.04603,475,15.16149,-9.90094,0.04603,-9.90945,0.06481,-0.31133,-0.31533,0.01475,0.01475,0.99674,0.99674,-0.28667,0.28667,0,0.00465,-1,-4.2,4
1,-9.9022,0.00653,0.04299,654,20.67038,-9.90986,0.04299,-9.91365,0.05158,-0.306,-0.322,0.01625,0.01625,0.99617,0.99617,-0.29333,0.29333,0,0.00434,-1,-4.2,4
2,-9.89892,0.00802,0.04578,502,15.8108,-9.90896,0.04578,-9.9141,0.04374,-0.31267,-0.31933,0.01425,0.01425,0.9978,0.9978,-0.28867,0.28867,0,0.00462,-1,-4.2,4
3,-9.89426,0.00845,0.04219,577,18.35661,-9.90462,0.04219,-9.90806,0.11236,-0.30933,-0.31733,0.0155,0.0145,0.99473,0.99473,-0.29867,0.29867,0,0.00426,-1,-4.2,4
4,-9.89424,0.00735,0.04918,555,17.87781,-9.90408,0.04918,-9.90522,0.06532,-0.30867,-0.31667,0.01325,0.01325,0.99524,0.99524,-0.29733,0.29733,0,0.00497,-1,-4.2,4
5,-9.89201,0.00692,0.04763,988,30.74692,-9.90553,0.04763,-9.9078,0.10092,-0.31067,-0.30667,0.0165,0.0155,0.99456,0.99456,-0.28467,0.28467,0,0.00481,-1,-4.2,4
6,-9.89113,0.00857,0.0444,646,20.23187,-9.9047,0.0444,-9.91709,0.1784,-0.31333,-0.30267,0.016,0.02,0.99362,0.99362,-0.28667,0.28667,0,0.00448,-1,-4.2,4
7,-9.89638,0.00604,0.04447,589,19.15765,-9.90387,0.04447,-9.91491,0.10393,-0.31667,-0.31533,0.01325,0.01425,0.99671,0.99671,-0.294,0.294,0,0.00449,-1,-4.2,4
8,-9.9027,0.00659,0.03225,567,18.24179,-9.91005,0.03225,-9.90447,0.13843,-0.31933,-0.31267,0.01475,0.01275,0.99569,0.99569,-0.28133,0.28133,0,0.00325,-1,-4.2,4
9,-9.89752,0.00662,0.0457,723,23.32272,-9.90548,0.0457,-9.91277,0.14046,-0.32,-0.312,0.0155,0.0155,0.99615,0.99615,-0.296,0.296,0,0.00461,-1,-4.2,4
0,-9.70816,0.00683,0.0468,469,15.28796,-9.71363,0.0468,-9.72023,0.16225,-0.30667,-0.312,0.0185,0.0175,0.99674,0.99674,-0.28733,0.28733,0,0.00482,-1,-4.1,4
1,-9.71427,0.00684,0.04258,638,21.08178,-9.7237,0.04258,-9.72718,0.09972,-0.298,-0.31533,0.01925,0.02025,0.99617,0.99617,-0.29133,0.29133,0,0.00438,-1,-4.1,4
2,-9.72394,0.00491,0.02075,511,15.1173,-9.72622,0.02075,-9.72621,0.02362,-0.31333,-0.31733,0.0165,0.0165,0.9978,0.9978,-0.286,0.286,0,0.00213,-1,-4.1,4
3,-9.70977,0.00681,0.03489,597,18.22323,-9.7213,0.03489,-9.72861,0.18807,-0.31867,-0.316,0.015,0.015,0.99473,0.99473,-0.29467,0.29467,0,0.00359,-1,-4.1,4
4,-9.70671,0.00715,0.04457,545,16.7773,-9.71654,0.04457,-9.71427,0.19399,-0.308,-0.316,0.0195,0.0175,0.99524,0.99524,-0.28267,0.28267,0,0.00459,-1,-4.1,4
5,-9.70724,0.00813,0.04467,897,26.72316,-9.7151,0.04467,-9.71994,0.05243,-0.302,-0.314,0.01725,0.01725,0.99456,0.99456,-0.28267,0.28267,0,0.0046,-1,-4.1,4
6,-9.70549,0.00759,0.03775,613,19.28009,-9.71726,0.03775,-9.72484,0.16685,-0.306,-0.306,0.01725,0.01825,0.99362,0.99362,-0.29267,0.29267,0,0.00388,-1,-4.1,4
7,-9.70664,0.00721,0.04184,559,17.20912,-9.71818,0.04184,-9.72462,0.11228,-0.30067,-0.31667,0.01775,0.01875,0.99671,0.99671,-0.29,0.29,0,0.00431,-1,-4.1,4
8,-9.7112,0.00775,0.04635,548,16.97143,-9.72192,0.04635,-9.72075,0.11607,-0.31,-0.31933,0.01775,0.01675,0.99569,0.99569,-0.288,0.288,0,0.00477,-1,-4.1,4
9,-9.70802,0.00742,0.04654,692,21.08135,-9.72026,0.04654,-9.72344,0.15782,-0.314,-0.30333,0.01725,0.01725,0.99615,0.99615,-0.28667,0.28667,0,0.00479,-1,-4.1,4
0,-9.52129,0.0083,0.04356,456,14.51694,-9.52818,0.04356,-9.52839,0.14186,-0.304,-0.324,0.0185,0.0145,0.99674,0.99674,-0.29267,0.29267,0,0.00457,-1,-4,4
1,-9.53049,0.0063,0.03639,608,18.64277,-9.53632,0.03639,-9.54021,0.13651,-0.29467,-0.32533,0.018,0.018,0.99617,0.99617,-0.29,0.29,0,0.00382,-1,-4,4
2,-9.53553,0.00643,0.04447,484,16.42659,-9.54147,0.04447,-9.54387,0.22049,-0.3,-0.31867,0.019,0.02,0.9978,0.9978,-0.29467,0.29467,0,0.00466,-1,-4,4
3,-9.52412,0.0065,0.02652,558,17.3254,-9.53065,0.02652,-9.5404,0.10562,-0.302,-0.31267,0.01875,0.01975,0.99473,0.99473,-0.28667,0.28667,0,0.00278,-1,-4,4
4,-9.52264,0.00764,0.03818,540,17.74441,-9.52999,0.03818,-9.54008,0.03591,-0.30733,-0.32067,0.01525,0.01525,0.99524,0.99524,-0.29133,0.29133,0,0.00401,-1,-4,4
5,-9.52495,0.00798,0.01745,877,27.23007,-9.53468,0.01745,-9.54144,0.10546,-0.31,-0.31533,0.01525,0.01625,0.99456,0.99456,-0.28733,0.28733,0,0.00183,-1,-4,4
6,-9.51883,0.00651,0.04023,590,18.27467,-9.53,0.04023,-9.53718,0.0525,-0.31133,-0.31,0.01575,0.01575,0.99362,0.99362,-0.288,0.288,0,0.00422,-1,-4,4
