num,energy_window,energy_std_window,variance,epoch,time,energy,energy_std,Energy-Mean,Energy-Std,Cz-Ferro,Cz-Antiferro,Mz2-Ferro,Mz2-Antiferro,Mx-Ferro,Mx-Antiferro,Nz-Ferro,Nz-Antiferro,net_overlap,std_mean,J,length
8,-63.91614,0.01957,0.31899,1439.0,208.61677,-63.90314,0.31899,-63.90668,0.65687,-0.00093,-0.36387,0.00877,0.13608,0.001,0.001,-0.85067,0.85067,0.0,0.00499,-4.7,16
9,-70.99731,0.47469,0.33013,566.0,82.71112,-71.25134,0.33013,-71.26572,0.57916,-0.0628,0.96573,0.00089,0.98777,0.0005,0.0005,-0.98907,0.98907,0.0,0.00463,-4.7,16
0,-69.96018,0.01923,0.28987,142.0,20.77073,-69.96279,0.28987,-69.97729,0.59764,-0.06427,0.96613,0.00094,0.986,0.00088,0.00088,-0.98653,0.98653,0.0,0.00414,-4.6,16
1,-69.95686,0.02443,0.3398,313.0,44.85776,-69.97888,0.3398,-69.9652,0.73383,-0.06253,0.9612,0.00133,0.98027,0.00175,0.00175,-0.9816,0.9816,0.0,0.00486,-4.6,16
2,-69.95978,0.02238,0.33982,206.0,29.8248,-69.9868,0.33982,-69.97794,0.38806,-0.06227,0.97053,0.00105,0.98436,0.00194,0.00194,-0.98653,0.98653,0.0,0.00486,-4.6,16
3,-69.8261,0.09131,0.32014,2194.0,318.73457,-69.92684,0.32014,-69.92797,0.45494,-0.06227,0.96947,0.00092,0.98492,0.00075,0.00075,-0.98653,0.98653,0.0,0.00458,-4.6,16
4,-68.62252,2.04969,0.29228,464.0,67.77692,-69.76953,0.29228,-69.75455,0.4246,-0.0628,0.95027,0.00083,0.98677,0.00124,0.00124,-0.9892,0.9892,0.0,0.00419,-4.6,16
5,-69.96458,0.02273,0.32511,442.0,63.51374,-69.98073,0.32511,-69.96836,0.4363,-0.06333,0.9612,0.00098,0.98392,0.00075,0.00075,-0.9852,0.9852,0.0,0.00465,-4.6,16
6,-62.67272,0.02019,0.27921,1875.0,272.72586,-62.69204,0.27921,-62.69287,0.42487,-0.00067,0.16307,0.00839,0.11933,0.00125,0.00125,-0.85573,0.85573,0.0,0.00445,-4.6,16
7,-62.65653,0.02349,0.30671,1811.0,261.61416,-62.67087,0.30671,-62.66474,0.77051,-0.00053,-0.228,0.00863,0.08725,0.0015,0.0015,-0.85027,0.85027,0.0,0.00489,-4.6,16
8,-69.52685,0.16781,0.21586,1556.0,226.96373,-69.71074,0.21586,-69.74872,1.3596,-0.06373,0.97093,0.00078,0.98828,0.001,0.001,-0.99013,0.99013,0.0,0.0031,-4.6,16
9,-69.61372,0.28589,0.23307,585.0,85.67488,-69.81318,0.23307,-69.79358,0.61421,-0.0612,0.95533,0.00127,0.98058,0.0005,0.0005,-0.98293,0.98293,0.0,0.00334,-4.6,16
0,-68.48218,0.01962,0.28096,142.0,20.70203,-68.48603,0.28096,-68.50417,0.56682,-0.06387,0.96547,0.00102,0.98483,0.00088,0.00088,-0.98547,0.98547,0.0,0.0041,-4.5,16
1,-68.4798,0.02492,0.31701,313.0,44.72303,-68.49719,0.31701,-68.46556,0.7935,-0.06173,0.95613,0.00155,0.97798,0.00175,0.00175,-0.97933,0.97933,0.0,0.00463,-4.5,16
2,-68.46976,0.02192,0.33525,166.0,24.1192,-68.49386,0.33525,-68.49876,0.36583,-0.0636,0.96947,0.00095,0.98577,0.00194,0.00194,-0.9868,0.9868,0.0,0.00489,-4.5,16
3,-68.09822,0.11697,0.20968,2126.0,297.72072,-68.12611,0.20968,-68.21381,2.79179,-0.06307,0.97373,0.0007,0.98914,0.00075,0.00075,-0.99107,0.99107,0.0,0.00308,-4.5,16
