Num,Energy_Window,Energy_Std_Window,Variance,Epoch,Time,Energy,Energy_Std,Energy-Mean,Energy-Std,Cz-Ferro,Cz-Antiferro,Mz2-Ferro,Mz2-Antiferro,Mx-Ferro,Mx-Antiferro,Nz-Ferro,Nz-Antiferro,Net_Overlap,Std_Mean,J,Length
2,-14.11783,0.01188,0.07045,446,12.79287,-14.13027,0.07045,-14.10472,0.50609,-0.312,0.94933,0.01,0.968,0.9978,0.9978,-0.966,0.966,0,0.00499,-4.6,4
3,-14.11815,0.01543,0.05332,292,8.41953,-14.13294,0.05332,-14.13842,0.08206,-0.31467,0.95867,0.0085,0.9745,0.99473,0.99473,-0.972,0.972,0,0.00377,-4.6,4
4,-14.11957,0.01417,0.05588,539,15.35805,-14.13361,0.05588,-14.11938,0.34297,-0.318,0.962,0.00775,0.97475,0.99524,0.99524,-0.97133,0.97133,0,0.00395,-4.6,4
5,-14.1195,0.01295,0.06051,413,11.77616,-14.13307,0.06051,-14.13759,0.07782,-0.31467,0.96133,0.009,0.973,0.99456,0.99456,-0.97,0.97,0,0.00428,-4.6,4
6,-14.119,0.01254,0.06399,418,11.93209,-14.13141,0.06399,-14.08775,0.78338,-0.316,0.96,0.01,0.972,0.99362,0.99362,-0.966,0.966,0,0.00453,-4.6,4
7,-14.12108,0.01069,0.07045,416,11.90837,-14.13679,0.07045,-14.1102,0.55226,-0.31467,0.95467,0.0095,0.9725,0.99671,0.99671,-0.97,0.97,0,0.00498,-4.6,4
8,-14.11908,0.01208,0.06691,312,9.17865,-14.13666,0.06691,-14.08627,0.80213,-0.31667,0.95267,0.01125,0.96625,0.99569,0.99569,-0.96,0.96,0,0.00473,-4.6,4
9,-14.11864,0.01362,0.04154,346,9.97547,-14.13026,0.04154,-14.118,0.3587,-0.32067,0.96067,0.00675,0.97675,0.99615,0.99615,-0.97533,0.97533,0,0.00294,-4.6,4
0,-13.82907,0.01306,0.05851,404,11.64091,-13.83936,0.05851,-13.84525,0.11319,-0.31133,0.95533,0.00875,0.97275,0.99674,0.99674,-0.97333,0.97333,0,0.00423,-4.5,4
1,-13.82551,0.01068,0.05669,404,11.59792,-13.84105,0.05669,-13.82453,0.33427,-0.31867,0.96133,0.008,0.974,0.99617,0.99617,-0.97133,0.97133,0,0.0041,-4.5,4
2,-13.8245,0.01235,0.06574,446,12.74187,-13.8372,0.06574,-13.79737,0.68461,-0.31067,0.948,0.011,0.967,0.9978,0.9978,-0.964,0.964,0,0.00475,-4.5,4
3,-13.8256,0.01487,0.04915,292,8.35847,-13.8404,0.04915,-13.84736,0.10291,-0.31333,0.95733,0.0085,0.9735,0.99473,0.99473,-0.972,0.972,0,0.00355,-4.5,4
4,-13.826,0.01449,0.05753,539,15.28734,-13.84125,0.05753,-13.82752,0.33145,-0.316,0.95867,0.0085,0.9725,0.99524,0.99524,-0.96933,0.96933,0,0.00416,-4.5,4
5,-13.82619,0.01277,0.0614,413,12.00287,-13.84118,0.0614,-13.84498,0.07493,-0.31333,0.96,0.0095,0.9715,0.99456,0.99456,-0.96867,0.96867,0,0.00444,-4.5,4
